service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,0,1,1,0,0,20211205,20220305
2,1,0,0,1,1,0,0,20211205,20220305
3,1,1,1,1,1,0,0,20211205,20220305
4,0,0,0,0,1,0,0,20211205,20220305
6,0,0,0,0,0,0,1,20211205,20220305
7,1,1,1,1,1,0,0,20211205,20220305
8,1,1,1,1,1,0,0,20211205,20220305
9,1,1,0,1,1,0,0,20211205,20220305
11,1,1,0,1,1,0,0,20211205,20220305
12,0,0,1,0,0,0,0,20211205,20220305
13,1,1,0,1,1,0,0,20211205,20220305
14,0,0,0,0,0,1,0,20211205,20220305
15,1,1,0,1,1,0,0,20211205,20220305
16,0,0,1,0,0,0,0,20211205,20220305
18,1,1,1,1,0,0,0,20211205,20220305
19,0,0,1,0,0,0,0,20211205,20220305
20,1,1,1,1,1,0,0,20211205,20220305
21,1,1,0,1,1,0,0,20211205,20220305
22,1,1,1,1,1,0,0,20211205,20220305
26,0,1,0,0,0,0,0,20211205,20220305
27,1,1,1,1,1,0,0,20211205,20220305
28,1,1,1,1,1,0,0,20211205,20220305
29,0,0,0,0,1,0,0,20211205,20220305
14-1,0,0,0,0,1,0,0,20211204,20220304
20-1,1,1,1,1,0,0,1,20211204,20220304
3-1,1,1,1,1,0,0,1,20211204,20220304
6-1,0,0,0,0,0,1,0,20211204,20220304
